Tissue,CT,Gene
Articular Cartilage,Prehypertrophic chondrocyte,"TGFBI,TNFAIP6,THBS3,PTGES,PPIC,SRPX2,CRLF1,GOLGA7B,CRTAC1,ASPN,TNC,GALNT16,COL5A1,SOX11,FAP,TPPP3,ADAMTS5,MXRA5,CRIP1,F5,OSTC,AMTN,GALNT15,SEMA3C,ABI3BP,SLC7A2,COL15A1,PART1,STEAP1,DPT,NT5E,AKR1C2,COL3A1,S100A4,CAPS,AOC2"
Articular Cartilage,Proliferative chondrocyte,"NOTCH2,BMP6,NGF,KDM7A-DT,GOT1,EIF4EBP1,ERCC1,PUM3,GLIS3,ATP13A3,CDV3,LRRC8C,ASNS,ACTN1,CAVIN1,B3GNT5,NOP16,GPATCH4,C3orf52,SLC7A1,METRNL,RPF2,INHBA-AS1,ST3GAL1,PDCD11,UPP1,RFLNB,SMOX,RYBP,SLC4A7,P3H2,MTHFD2,TGFB1,DDX21,TXNRD1,SNX9"
Articular Cartilage,Regulatory chondrocyte,"HMOX1,TMEM176A,CKS2,TUBB4B"
Articular Cartilage,Stem cell,"NT5E,THY1,ITGB1,CD44"
Articulation,Macrophage,"FCGR2A,FCGR1A,CD80,CD163,CD68,CD14,CD200R1,CSF1R"
Ascites,Natural killer cell,"NCAM1,FCGR3A"
Ascites,Regulatory T (Treg) cell,"CD4,FOXP3,IL2RA"
Ascites,T cell,"CD4,CD8A,CD8A,CD4"
Belly,Macrophage,"MARCO,SIGLEC1"
Belly,Myeloid derived suppressor cell (MDSC),"CD33,CD14,CD33,CD34"
Belly,T cell,"IL7R,CD28"
Bile duct,Activated B cell,"CD38,CD86,FCRL5,CD79A,CD27"
Bile duct,B cell,"CD7,CD3D,CD79A"
Bile duct,Blood cell,"PIM2,OTUD5,SLC35A2,GRIPAP1,PQBP1,TIMM17B,KCND1"
Bile duct,CD40LG+ T helper cell,"GZMK,CD40LG,IFNG,GZMA,GZMH,CD69,CD3D"
Bile duct,CD8+ T cell,"GZMB,GZMK,GZMA,CD8B,CD3D,CD8A,MKI67,GZMH,IL10RA,CD69,LAIR2,TOP2A,IFNG,LAG3"
Bile duct,Cholangiocyte,"EPCAM,KRT19,CFTR,CD14,CD3D,FXYD2,KRT19"
Bile duct,Endothelial cell,"CD14,CD3D,CD7,APOC3"
Bile duct,Fibroblast,"ACTA2,CD7,KRT19,APOC3,CD14,CD3D"
Bile duct,Foxp3+ regulatory T cell,"TIGIT,FOXP3,CD40LG,GZMA,IL2RA,LAIR2,GZMH,CD3D,CD4,TNFRSF18,CD69,IFNG,GZMK,CTLA4"
Bile duct,GZMB+ T cell,"CD3D,IL10RA,LAIR2,LAG3,IFNG,GZMB,GZMK,CD69,CD8A,GZMH,CD8B,GZMA"
Bile duct,GZMK+ T cell,"IFNG,GZMA,GZMH,GZMK,CD8B,CD3D,LAG3,CD8A,CD69"
Bile duct,IL7R T helper cell,"GZMH,GZMA,CD3D,IFNG,GZMK,CD69,CD40LG"
Bile duct,KLRF+ natural killer cell,"KLRF1,CD3D,GZMH,TIGIT,IFNG,CD69,GZMB,CD8B,GZMK,GZMA,CD8A"
Bile duct,Lymphocyte,"GATA3,FOXP3,NCAM1,CD8A,CD4,MS4A1,PTPRC"
Bile duct,M2 macrophage,"MRC1,IL10"
Bile duct,MKI67+ T cell,"CD3D,TOP2A,CD8B,MKI67,LAG3,CD8A,GZMH,IFNG,GZMK,GZMA,CD69,GZMB"
Bile duct,Malignant cell,"FXYD2,CD3D,CD14,KRT19"
Bile duct,Memory B cell,"FCRL5,CD86,CD79A,CD27,SPIB"
Bile duct,Monocyte,"CD1D,CD14,CD3D"
Bile duct,Myeloid cell,"LAMP3,CSF1R,CD163,PTPRC,CD209,CEACAM3,CD68"
Bile duct,Naive B Cell,"CD79A,CD27,CD38"
Bile duct,Naive CD4+ T cell,"GZMK,CD40LG,GZMA,IL9R,CD69,CD3D"
Bile duct,Naive CD8+ T cell,"GZMH,IFNG,CD69,GZMK,CD8B,CD8A,CD3D,GZMA"
Bile duct,Naive IL7R+ T cell,"IL9R,IFNG,GZMK,CD8A,GZMA,GZMH,CD69,CD40LG,CD8B,CD3D"
Bile duct,Natural killer cell,"CD3D,CD7"
Bile duct,Plasma cell,"CD9,CD38,CD27,FCRL5,CD79A"
Bile duct,Regulatory T(Treg) cell,"PDCD1,FOXP3,ENTPD1,GZMB,IL2RA,CD4,HAVCR2,CD8A"
Bile duct,T cell,"CD3D,CD7,CD274"
Biliary tract,Cancer stem cell,"LGR5,NANOG,SOX2"
Biliary tract,Intestinal cell,"CDX2,KRT20,MUC2"
Biliary tract,Stem cell,"SOX2,LGR5,NANOG"
Bladder,B cell,"MZB1,CD79A,CD79A,MS4A1,CD79A,CD19,MS4A1,CD19"
Bladder,Basal cell,"KRT5,KRT17,KRT14,KRT1,KRT16,KRT6C,CDH3,KRT6B,CD44,KRT72,KRT14,KRT15,KRT5,KRT5,TFAP2C,STAT3,KRT6A"
Bladder,Cancer cell,"ALDH1A1,CD44"
Bladder,Cancer stem cell,"ETFA,CD44,CD47,CD24,PROM1,ALDH1A1,PROM1,POU5F1,KRT5,CD44,KRT20,SOX2"
Bladder,Cancer-associated fibroblast,"THY1,FAP,ACTA2,TNC,FN1"
Bladder,Claudin-low cell,"CLDN4,SNAI2,CLDN7,ZEB2,ZEB1,VIM,CDH1,CLDN3,TWIST1"
Bladder,Cycling epithelial cell,"TUBA1B,EEF2"
Bladder,Dendritic cell,"CD209,CD1C,CCR7,LAMP3,CLEC10A"
Bladder,Endothelial cell,"CD34,CDH5,PECAM1,SELE,VCAM1,PECAM1,FLT1,VWF"
Bladder,Epithelial cell,"ETFA,KRT5,CDH3,EGFR,KRT18,KRT19,ITGA6,EPCAM,EPCAM,PPARG,GATA3,KRT19,KRT17,CDH12,KRT13,CDH18"
Bladder,Epithelial-mesenchymal cell,"VIM,CDH2,TWIST1,ZEB2,ZEB1,SNAI1,FOXC2"
Bladder,Exhausted CD8+ T cell,"TIGIT,CTLA4,PDCD1"
Bladder,Fibroblast,"COL3A1,S100A4,COL1A1,COL1A2,DCN,PLA2G2A,CALD1,COL1A1"
Bladder,Follicular B cell,"MS4A1,CD79A"
Bladder,Luminal cell,"ERBB2,GATA3,ERBB3,UPK2,XBP1,GPX2,CYP2J2,KRT20,PPARG,KRT7,KRT8,KRT18,FOXA1,KRT19,UPK1A,FGFR3,GATA3,FOXA1,FOXA1,FABP4,GPX2,KRT19,ERBB3"
Bladder,Lymphoid cell,"PTPRC,CD247"
Bladder,M1 macrophage,"CCL5,CCR7,TNF"
Bladder,M2 macrophage,"MMP14,VTCN1,EGF,MRC1,TGFB1,CD163,MSR1,ARG1"
Bladder,Monocyte,"LYZ,MS4A7,CD14,S100A8,S100A9"
Bladder,Myeloid cell,"LYZ,CSTB,CSF2RA"
Bladder,Neuroendocrine cell,"NCAM1,CHGA,SCG2,ENO2,SYP,CHGB"
Bladder,P53-like cell,"PCP4,ACTC1,PGM5,DES,ACTG2,MFAP4,MYH11,CNN1,FLNC"
Bladder,Prostate cell,"AR,NKX3-1,ERG"
Bladder,Regulatory T(Treg) cell,"CTLA4,TNFRSF4,IL2RA,TIGIT,TNFRSF9,TNFRSF18,FOXP3,FOXP3"
Bladder,Smooth muscle cell,"TPM2,DES,TAGLN,ACTG2,CNN1"
Bladder,Squamous-differentiation cell,"DSC3,DSG3,DSC1,DSG1,DSC2,S100A7,S100A8"
Bladder,Stem cell,"KRT5,CD44,ALDH1A1,RPSA,SOX2,SOX9"
Bladder,T cell,"CD3D,CD3E,CD247,CD3D"
Bladder,Tumor-infiltrating lymphocyte(TIL),"CD8A,CD4,FOXP3"
Bladder,Tumor‐associated macrophage (TAM),"MRC1,CD68"
Bladder,Umbrella cell,"KRT20,UPK2,UPK3A"
Bladder,Urothelial cell,"GATA3,RPE65"
Blood,AXL+SIGLEC6+ dendritic cell,"SUCLA2,CEP95,RAD1,ALDH2,SLC35C2,BAIAP2,SLC41A2,SUSD1,MGLL,STX18,MECR,RUNX2,PTGDS,SIGLEC6,CD300LG,BIN1,THBD,SLC20A1,CX3CR1,STAG3L4,MRPS6,CD5,CDH1,ATF5,CD300LB,CD72,AXL,ADAM33,DAB2,IRF4,ZEB1,USF2,NDRG1,PPP1R14A,KLF4,SP4,UPK3A,S100A10,PLAC8,COQ7,LAX1,SCN9A,SOX4,CXCR2,DPYSL2,GGTA1,TNFSF12,OTULINL,NIBAN1,PIM2,LTK,CTSW,KLF12,HIP1,CD22,ENTPD7,RNF141,RNASEL,GPR146,VASH1,SLC4A3,CDKN1A,TXN,BHLHE40,GNAQ,MYH11,ZNF789,TBC1D9,MED12L,ATP2B4,TNNI2,ACP3,SNRNP25,MYO1E,RBL1,LGMN,SIGLEC1,CCND3,ARHGAP18,PLAAT3,APEX1,TSEN54"
Blood,Abnormal myeloid cell,"PRTN3,ELANE,AZU1,CST7"
Blood,Abnormal plasma cell,"SDC1,CD38,NCAM1"
Blood,Activated B cell,"CD5,TAGLN2,CD69,CD27,CD19"
Blood,Activated CD25+ regulatory T cell,"IL2RA,CD4"
Blood,Activated CD4+ T cell,"CD4,TFRC,ITGB1,IL2RA,CXCR3,CD14,CD38,CD4,CCR6,CD19,CD69,CD69,STAT3,SOCS3,ICOS,CD3D,CD4,IL7R,CD4,CD3E,SELL,CCR7,CD40LG,TCF7,CD4,CD38"
Blood,Activated CD8+ T cell,"CD3E,CD8A,GZMB,NKG7,GZMH,CCL5,CD8A,CCL5,CD3D,CD8A,CD38"
Blood,Activated T cell,"CD69,PRF1"
Blood,Activated effector cell,"MKI67,IL32,CCL5,TNFRSF4,HLA-DRA"
Blood,Activated memory B cell,"ZEB2,DHRS9,POU4F1,FCER1G,CD86,AICDA,ITGAX,STAC3,KREMEN2,HES4,TBX21,FCRL4"
Blood,Activated memory CD8+ T cell,"CD69,CD8A"
Blood,Activated natural killer cell,"LILRB1,NCAM1,KLRC2,B3GAT1,CD2,NCAM1,CD69"
Blood,Activated regulatory T cell,"IL2RA,CCR4,CD4"
Blood,Aged memory B cell,"FCRL5,CD19"
Blood,Angiogenic T cell,"PECAM1,CXCR4"
Blood,Antibody Secreting B cell,"CD38,CD27"
Blood,Antibody-secreting cell,"CD19,CD38,SDC1,IL6ST,CD81,ENTPD1"
Blood,Atypical B cell(ABC),"CD72,LILRB2,FCRL5,ITGAX"
Blood,Atypical memory B cell,"MS4A1,CD19,CD27,MME,CR2,FCRL5,CD19,MS4A1,CD19"
Blood,Axl+ CD11c+ Plasmacytoid dendritic cell (CD11c+ Axl+DC),"CD5,CD33,CD2"
Blood,Axl+ CD123+ Plasmacytoid dendritic cell (CD123+ Axl+DC),"CLEC4C,IL3RA,CD2,CD5"
Blood,B cell,"CD19,MS4A1,CD19,CD27,CD19,CD19,TNFSF13B,AICDA,CD86,TFRC,CD28,CD38,MME,ZAP70,CD19,CD38,CD27,PTPRC,MS4A1,CD24,CD19,CR2,CD27,MS4A1,CD5,CD38,PTPRC,CD19,CD19,CD74,MS4A1,CD19,CD79A,CD79B,BLNK,CD79A,CD37,CD19,PTPRC,SPN,PTPRC,DLX4,CD19,CD19,CD14,MS4A1,CD19,MS4A1,CD79A,CD19,MS4A1,CD19,CR2,FAS,TBX21,CD27,JUNB,B2M,HLA-DRA,CD74,MS4A1,CD19,CD5,IL10,CD19,SDC1,TNFSF13,IL6,CD19,CD19,CD19,MZB1,LILRA4,JCHAIN,CD79B,CD19,CD19,JCHAIN,IGHG2,IGHG1,CD19,CD22,ADAM28,JCHAIN,CXCR4,FCER2,BANK1,TCF4,PMAIP1,VPREB3,TCL1A,CD19,CD19,CD19,MS4A1,CD79A,CD19,PTPRC,CD19,CD79A,CD19,CD19,ZCCHC7,CD79B,CD79A,MS4A1,MS4A1,CD19,CD19,MS4A1,CD79A,CD79B,CD99,IGHG4,CD38,CD19,CD1C,IGHG1,NR4A1,IGHD,MS4A1,CD27,IGHA1,IGHA2,IGHM,CCR7,CD24,IGHG2,BCL6,NCAM1,CD14,CD19,CD19,PTPRC,MS4A1,PAX5,FCRL1,CD22,CD79A,BLNK,BANK1,CD79B,MS4A1,CD19,CD19,CD79A,CD79B,CD19,CD79A,MS4A1,CD27,CD19,MS4A1,CD19,CD74,PTPRC,MS4A1,HLA-A,MS4A1,CD19,CD19,CD19,MME,CD52,CD19,MME,CD19,CD79B,MS4A1,CD79A,CD74,CD79A,MS4A1,CD19,PTPRC,MS4A1,CD19,MS4A1,CD19,MS4A1,CD19,MS4A1,CD19,CD19,CD19,CD79A,MS4A1,CD79B,MS4A1,PTPRC,CD19,CD22,CD19,CD19,CD19,CD19,CD19,IGHG2,CD79B,CALR,TNFRSF17,MS4A1,JCHAIN,XBP1,CD79A,BACH2,MZB1,CD40,CD86,MME,CD70,CD80,MS4A1,CD79A,CD38,MS4A1,CD19,MS4A1,MS4A1,CD79A,MS4A1,MS4A1,IL7R,FAS,IL2RA,CD38,CD27,CR2,CD19,CCR7,CD79A,MS4A1,CD79B,CR2,CD81,CD79A,CD22,CD40,CD72,CD19,FCGR2A,CD19,CD79A,MS4A1,IGHG1,CD79A,MS4A1,IGHM,PAX5,SPIB,ITGB1,FCRLA,IGHA1,IGHD,FCER2,TCL1A,BCL11A,PLPP5,CD79B,FCRL1,TNFRSF13C,YBX3,AHNAK,HLA-DPB1,NFKBIA,SWAP70,CD19,JCHAIN,AIM2,IL4R,CD79A,IGKC,IGHG3,JCHAIN,CD79B,CD19,IGKC,IGHM,CD79A,MS4A1,CD19,CD79B,CD19,CD19,MS4A1,CD19,CD19,CD79A,CD79A,MS4A1,CD79B,CD79A,CD79A,MKI67,CDC20,CDK1,CD19,CD79A,MS4A1,CD19,MS4A1,MS4A1,CD19,CD19"
Blood,B cell lineage,"MS4A1,CD19"
Blood,B1 cell,"MS4A1,SPN,CD27"
Blood,Basophil,"FUT4,IL3RA,KIT,ENPP3,SMAD1,CD19,CD22,ENPP3,ENPP3,IL3RA,CD63,ENPP3,CD63,CD69,CD63,CD63,ENPP3,ENPP3,CD63,CD63,ENPP3,CCR3,PTPRC,ENPP3,CD63,ENPP3,CD63,CD63,CD63,ENPP3,CD63,CCR3,IL3RA,ENPP3,CD63,IL3RA,IL3RA,MS4A2,CLC,CPA3,GATA2"
Blood,Beta cell(β cell),"PAX5,CD38,XBP1,BCR,PRTN3,ERBB3,MUC16,ERBB2,STAT3,EPHB2,TSLP"
Blood,CAR-T cell,"BTK,PLCG2,NFKBIE,BIRC3,SF3B1,XPO1,RIPK1,MGA"
Blood,CD14 monocyte,"S100A8,CD14,LYZ"
Blood,CD14+ endothelial progenitor cell,"CD14,KDR"
Blood,CD14+ monocyte,"CD14,S100A9,CD14,LYZ,LYZ,CD14,CD14,LYZ,IL1R2,F5,ALOX5AP,THBS1,NR4A1,CD14,CD4,CD14,LYZ,FCGR3A,LYZ,CD14"
Blood,CD14++CD16- monocyte,"CD14,FCGR3A"
Blood,CD14+CD16+ monocyte,"CD14,FCGR3A,CD68,S100A12,FCGR3A,CD14"
Blood,CD141+CLEC9A+ dendritic cell,"LRRC18,FNBP1,DUSP10,ACSS2,TGM2,HLA-DPB1,DUSP2,WHAMMP3,ASAP1,BATF3,ADAM28,SHTN1,SLC9A9,STX3,BTLA,VAV3,CCND1,DST,LIMA1,LACC1,FAM135A,ENPP1,INF2,CD93,CD59,HLA-DPA1,HLA-DQB1,HLA-DPB2,APOL1,TMEM14A,DPP4,NET1,HAVCR2,BCL6,SLC24A4,TRERF1,CYB5R3,SLC66A1,CLEC9A,DENND1B,ACTN1,DHRS3,HLA-DQB1,WDFY4,ASB2,SNX3,DNASE1L3,B3GNT7,RAB11FIP4,THBD,GYPC,CTTNBP2NL,IDO2,PDE4DIP,PIK3CB,FHIP1B,CPVL,CSRP1,GCSAM,MTERF2,PPA1,PALM2AKAP2,PDLIM1,ANPEP,PPM1M,CAMK2D,CLNK,XCR1,KIF16B,PTK2,FUCA1,NCALD,GSTM4,EHD4,KCNK6,CCSER1,VAC14,ID2,CADM1,CD40,NAV1,IDO1,APOL3,SCARF1,ZNF366,RGS10,DSE,ELOVL5,SLAMF7,CPNE3,HLA-DOB,SLAMF8,TLR10,FLT3,PDLIM7,LMNA,PLCD1,NDRG2,CYP2E1,SNX22,PRELID2,FCRL6,LGALS2,PPM1H,CD38,OSBPL3,PAFAH1B3"
Blood,CD16 monocyte,"LYZ,FCGR3A"
Blood,CD16+ dendritic cell,"IL3RA,CD14,CEACAM8,CD33,FUT4,FCGR3A"
Blood,CD16+ dendritic cell (CD16+ DC),"FCGR3A,CD86"
Blood,CD16+ monocyte,"ITGB3,FCGR3A,CD36,CD9,CCR2,CD14,LYZ,CD14,FCGR3A,LYZ,MS4A7,FCGR3A,HES4,TCF7L2,LYN,CX3CR1,MTSS1,FCGR3A,NR4A1,CX3CR1,FCGR3A,CD4,FCGR3A,LYZ"
Blood,CD1C+_A dendritic cell,"LPCAT1,AREG,CACNA2D3,NOD2,CLEC17A,MBOAT7,CCR6,CLEC4A,CD33,CD1E,PTAFR,PER1,ENTPD1,ADAM8,PEA15,PID1,CD1C,SLC2A3,FCER1A,ITGA5,FCGR2B,NR4A2,CD2,CLIC2,CREB5,CLEC10A,CD1D,SMN1,ETS2,PTGS1"
