Tissue,CT,Gene
Adrenal glands,Cardiomyocytes,"TNNC1,ADM,ALCAM ,NPPA,FGF2,NPPB,TNNI3,TNNT2,ANKRD1,NPPC,DES,HAND2,HAND1,GATA4,GATA6,MYL2,NKX2-5,PNMT,ACTA1,CD36,RBM20,VLDLR,ALPK3,RBM24,FABP4,CKMT2,SPEG,MYH7B,MYOM2,MYOM1,PDLIM5,MYH7,PLN,TCAP,SORBS2,RYR2,OBSCN,ACTC1,MYL3,CORO6,PDE4D,NEXN,FHL2,MYBPC3,MYH6,TTN,GPIHBP1,AQP1,DMD,MFN2,ASB2,ART3,RRAD,ADPRHL1,JPH2,PYGM,HSPB7,MYOZ2,ENO3,TRDN,ACTN2,TNNI1,SMPX,MYL7,TBX20,TRIM63,MB,CTGF,MYL4,LOX,CTNNB1,CPT1A,SOX18,NOTCH1,SLN,CSRP3,TXLNB,CKM,CXCR4,IL11RA,MITF,ZFPM2,BDNF,GJA5,FMOD,MTTP,SLC5A1,ADIPOQ,TRPV1,HAMP,SGPL1,STC1,FGF23,STRN,HEY2,ADIPOR2,PDE1A,BMP4,CASQ2"
Adrenal glands,Cholangiocytes,"SSTR2,SLC4A2,SCTR,KRT7,KCNN2,ITGB4,GGT6,CFTR,CCKBR,AQP4,AQP1,PIGR,GGT1,JAG1,GPBAR1,GGT7,KRT19,ONECUT2,ALPL,HNF1B,ALB,AGR2,TFF3,TFF1,SOX9,CLDN4,MMP7,TFF2,SCGB3A1,FXYD2,DEFB1,CD24,LCN2,CXCL1,CXCL6,LGALS2,TACSTD2,ELF3,SPP1,MUC5B,LGALS4"
Adrenal glands,Cholinergic neurons,"CHAT,SLC18A3,ACHE,SLC5A7,TAC1,BRCA1,ACLY"
Adrenal glands,Chondrocytes,"PRG4,TNC,CRTAC1,CREB3L2,RUNX2,ACAN,COL2A1,COMP,MATN3,RUNX3,SOX6,BMP2,CTNNB1,FGF18,GLI3,PBX3,PTHLH,SMO,STAT1,MMP13,VEGFA,MATN1,COL9A1,COL10A1,IGF2,MIA,SDC3,EMP1,COL6A1,CYTL1,LCN2,LUM,SCRG1,HAPLN1,COL11A1,S100A9,CHAD,COL9A3,DLK1,S100A8,CHODL,SHOX,MGP,VDR,NOG,AGER,IL10RA"
Adrenal glands,Choroid plexus cells,"TTR,KL,SOSTDC1,CLIC6,SLC4A10,HTR2C,AQP1,SLC16A2,SLC4A2,SLC4A5,SLC31A1,CLDN2,SLC13A4,SLC29A4,PRLR,CLDN1,SLC2A12,WFIKKN2,SLC23A2,SLC26A11,CHMP1A"
Adrenal glands,Chromaffin cells,"SLC26A4,AGRP,IGF2,SLC18A2,SNAPIN,PNMT,RAPGEF2,SERPINE1,GJD2,CACNA1D,PIK3C2A,PLD1,PLD2,DOC2B,UNC13A,SLC18A1,STX1A,NPY,NTRK1,P2RY1,SLC12A2,CHGA,PLAT"
Adrenal glands,Ciliated cells,"SEC14L3,CCDC153,FAM161A,TMEM212,USMG5,CCDC181,FOXJ1,CCDC17,CCDC39,ODF3B,CYP2S1,LRRC23,SCGB1A1,APPL2"
Adrenal glands,Clara cells,"SYT2,CYP2E1,SCGB1A1,FOXM1,CTSE,MUC5B,SCGB3A2,SFTPC,MUC1,CYP4B1,ALDH1A1,BPIFA1,SCGB3A1,MUC4,AHR,MMP28,LEPR,ERN1,SFTPA1,CARM1,RAB3D,SFTPD"
Adrenal glands,Crypt cells,"KCNE3,KCNQ1,OLFM4,PROM1,LGR5,EPHB2,ASCL2,BMI1,HOPX,LRIG1,TERT,MSI1,SMOC2,TNFRSF19,SLC12A2,AXIN2"
Adrenal glands,Decidual cells,"XCL1,IGFBP1,XCL2,CTSW,IL32,TRDC,KLRC1,PRL,CST7,AREG"
