Tissue,CT,Gene
Brain,Neuroendocrine cells,"Ppp1r1b,Clasp2,Mkl2,Fxyd7,Dpf1,Penk,Grm5,Sfxn5,Tac1,Ccdc85c,Atxn1,Gpr88,Pde10a,Sst,Cxcl14,Npy,Nrgn,Scn2b,Abhd2,Spock1,Negr1,Dusp26,Arhgdig,Cck,Prss12,Serpini1,Nkx2-2"
Brain,Neurons,"Eno2,Rbfox3,Chat,Th,Calb1,Calb2,Isl1,Epo,Csf3,Nefh,Nefm,Dlg4,Slc12a5,Gabra1,Aqp1,Ifit3,Slc11a1,Tff3,Slc1a1,Cxcl1,Cxcr5,Aim2,Matn2,Slc36a4,Prph,Mecp2,Rin1,Omp,Ptpn11,Ghsr,Npy,Agrp,Resp18,Stx1a,Scn2b,Disp2,Cbarp,B3gat2,Fmo1,Fbln2,Shisa2,Luzp2,Scrg1,Fam181b,Igf1,Cd59a,Ctxn2,Tmem130,Dzank1,Acsl4,Clstn3,Arhgdig,Hap1,Nrsn2,Abat,Hdac11,Slc30a9,Scamp1,Magee1,Ncald,Copg1,Kcnc1,Fbxw7,Gabrg2,Nmt1,Arid4a,Zrsr1,Rgs17,Tmem91,Cdk5,Safb,Rnf220,Rasgrf1,Tceal6,Tmem179,Nicn1,Pnmal1,Napg,Cmip,Zmynd11,Rhbdd2,St8sia3,Pqbp1,Matk,Tro,Ckmt1,Akap8l,Dusp26,Syt5,Gad1,Flywch1,Rit2,Tceal5,Pnck,Tmem59l,Tceal3,Gprasp2,Map7d2,Miat,Rb1cc1,Pabpn1,Gria3,Nbea,Sfswap,Wdr60,Mirg,Scn1a,Rnpc3,Hoxc8,Rere,Scn8a,Trip11,Eml5,Kmt2c,Aak1,Safb2,Sacs,Ryr2,Cspp1,Gria4,Chd6,Zfp445,Zcchc7,Gpatch8,Pclo,Syne1,Prox1,Nrgn,Ppp1r14c,Ube2d2a,Synpr,Ccdc28b,Kcnk1,Cnrip1,Frrs1l,Fam69b,Gpr162,Cacng2,Spock3,Rgs7bp,Dnm3,Tmem191c,Slc6a17,Dner,Grm5,Cntnap2,Cplx1,Slc32a1,Dlgap1,Ppp1r9a,Gnl3l,Zcchc12,Atp6v1h,Hpca,Chn1,Cpne6,Pde1a,Gnai1,Cck,Rims3,Ogfod1,Celf6,Dtd1,Prmt2,Avp,Rora,Vgf,Pcsk2,Chodl,Necab2,Tac2,Kcnma1,Cacnb3,Nwd2,Zic1,Tesc,Necab3,Nrn1,Gabbr2,Slc17a7,Car10,Dgkb,Cacnb4,Cttnbp2,Ppp1r1b,Pcp4,Ptk2b,Ddn,Icam5,Vsnl1,Pacsin1,Cacna2d1,Sgip1,Atp6v0a1,Myo5a,Dync1i1,Prune2,Cacna2d2,Slc17a6"
Brain,Noradrenergic neurons,"Th,Ddc,Dbh,Slc18a2,Slc18a3,Slc6a2,Slc39a11,Slc9b2"
Brain,Oligodendrocyte progenitor cells,"Cspg4,Pdgfra,Sox10,Olig2,Matn4,C1ql1,Gpr37l1,Gpr17,Kcnip3,Tmem100,Vcan,Cdo1,Epn2,Lhfpl3,Neu4,Ascl1,Lad1,Slc25a47,Etv5,Cspg5,Olig1,Pcdh15,Aldoc,Tnr,Fyn,Nkx6-2"
Brain,Oligodendrocytes,"Galc,Mog,Olig1,Olig2,Olig3,Sox10,Gjc2,Gamt,Bcas1,Enpp6,Tmem63a,Gpr62,Bace1,Creb5,Fgfr2,Slc25a38,Hdac11,Tyro3,S1pr5,Aspa,Ephb1,Hepacam,Sox8,Fasn,Omg,Zdhhc9,Ptgds,Adamts4,Myrf,Sema4d,Tmem125,Klhl2,Dpy19l1,Tspan15,Hapln2,Nkx6-2,Gjb1,Opalin,Vldlr,Mcam,Tmem163,Ermn,Fa2h,Cldn11,Anln,Elovl7,Pllp,Ddc,Pou3f1,Ninj2,Sgk2,Gjc3,Gpr37,Il33,Klk6,Nfe2l3,Pex5l,Cldn14,Itgb4,Myo1d,Pde8a,Cntf,Eml1,Kif13b,Kif6,Nipal4,Sec14l5,Sp7,St18,Dusp15,Prkcz,Arsg,Npc1,Mag,Slc25a29,Slc25a19,Plekhh1,Tmem88b,Dbndd2,Efnb3,Sgk3,Pnpla2,Arrdc2,Enpp2,Itpr2"
Brain,Pinealocytes,"Asmt,Adrb1,Tph1,Sag,Gngt1,Gngt2,Rom1,Crx,Cngb1,Cnga1,Pde6c,Adra1b,Drd4,Chrna3,Chrnb4,Neurod1,Pde6b,Cacna1f,Gng13,Aanat,Crem,Pde10a,Pmepa1"
Brain,Purkinje neurons,"Calb1,Abat,Grin1,Gad1,Hdac6,Prkg1,Atp2b2,Pde5a,Itpr3,Pde1b,Pde1a,Car8,Omp,Pde9a,Cbln1,Mrps35,Pvalb,Shank2,Cacna2d2,Nkain4,Cntnap2,Th,Cerk,Cd3g,Kcna2,Slc22a15,Cacng2,Syt2,Cplx1,Pkp4,Kcnma1,Adgrb1,Hcn1,Slc24a2,Gabra1,Clstn3,Slc24a3,Dlg4,Cnpy1,Slc12a5,Slc32a1,Gria3,Camk2a,Penk,Hivep2,Nrip3,Tshz1,Pcbp3,Gpsm1,Ppm1e,Dlgap1,Gng4,Shisa8,Synpr,Prkca,Pcp4l1,Pcp4,Slc1a6,Grid2,Gad2"
Brain,Pyramidal cells,"Cd3e,Dlg4,Camk2a,Grm1,Grm5,Tbr1,Pou3f1,Emx1,Fezf2,Nrgn,Gria3,Spink8,Pcp4,Synpr,Nr4a2,Ager,Grin2d,Kcnn4,Dab1,Ccm2,Calb1,Adrb2,Pde2a,Kcnb1,Kcnb2,Kcnq2,Kcnq3,Satb2,Oxtr,Cck,Kcnd2,Kcnd3"
Brain,Radial glia cells,"Pax6,Slc1a3,Pdgfd,Gli3,Notch3,Vcam1,Hes5,Olig2,Gfap,Emx2,Cdh4,Spry1,Axin2,Riiad1"
Brain,Retinal ganglion cells,"Prkca,Ngf,Pou4f2,Nhlh2,Atf6b,Snx16,Irx5,Ydjc,Dpp10,Shd,Smim18,Galnt14,Chrnb3,Them4,Scaper,Galntl6,Ccdc184,Nkain3,Lhfpl5,Srrm3,Galnt9,Mtus2,Iglon5,Dctn1,Ggt7,Btbd10,Efna3,Slc29a4,Stoml1,Fbxo44,Nell1,Rtn2,Bbc3,Evc2,Syt16,Cpne5,Ttll1,Gphn,Six6,Ablim3,Pou6f2,Grip1,Zfp580,Tox2,Narf,Barhl2,Dtx1,Mab21l2,Kctd8,Cpne4,Klhdc8a,Irx6,Chrna6,Cacnb3,Csdc2,Akap7,Hpca,Isl1,Slc17a6,Fgf12,Dner,Tmem163,Rbpms,Pou4f1,Rbpms2,Cdk14,Fxyd7,Nefm,Sncg"
