Tissue,CT,Gene
Aorta,Macrophage,"Csf1r,Adgre1,Fcgr1,Cd68,Cd14,Itgam,Cd68,Cd86,Itgam,Lgals3,Adgre1,Cd86,Adgre1,Lgals3,Cd68,Adgre1,Lgals3,Cd68,Adgre1,Csf1r,Trem2,Ccl2,Pf4,C1qc"
Aorta,Memory T cell,"Il7r,Il2ra,Il7r,Ptprc,Cd3g"
Aorta,Monocyte,"Ly6c2,Csf1r,Ccr2,Itgam,Ccr2,Ly6c2,Ly6c1,Cybb,Il1b,Ccr2"
Aorta,Myeloid cell,"Csf1r,Ccr2,Adgre1,Itgax,Cd209a,Lgals3,Ly6c2,Cd68,Cd14,Itgax"
Aorta,Smooth muscle cell,"Lgals3,Cnn1,Tagln,Cnn1,Lgals3,Tagln,Cnn1,Myh11"
Arm,Regulatory T(Treg) cell,"Il2ra,Tigit,Foxp3,Penk,Areg,Klrg1,Pdcd1,Ctla4,Ikzf2,Il10"
Artery,Endothelial cell,"Bmx,Efnb2,Sema3g,Gja4,Gja5,Cxcl12,Gm5127,Cdh5,Cldn5,Pecam1,Efnb2,Ephb4"
Artery,Glomus cell,"Th,Th,Cyb561,Itm2b,Gnas,Nnat,Rgs4,Eml5,Snap25,Kcnk3,Ndufa4l2,Dgkk,Pkib,Slc39a6,Uchl1,Epas1,Olfr78,Ddc"
Artery,M2 macrophage,"Mrc1,Mrc1,Mrc1,Mrc1,Tgfb1,Arg1"
Artery,Macrophage,"Adgre1,Adgre1,Adgre1,Adgre1,Lyz1,Cd68,C1qb"
Artery,Myocyte,"Tnnc2,Tnnt3,Myl4,Myl7,Myl1,Tnni3,Tnnt2"
Artery,Vomeronasal sensory neuron,"Gnai2,B2m,Calr4,Trpc2,Gnao1,Omp"
Belly,Exhausted T(Tex) cell,"Pdcd1,Havcr2,Lag3,Ctla4,Tigit"
Blood,Activated CD8+ T cell,"Trbc2,Cd8a,Cd8b1,Ccl5,Tcf7"
Blood,Dendritic cell,"Fcgr3,S100a4,Ccl5,Basp1,Tcf7,Fscn1,H2-Eb1,H2-Aa,H2-Ab1,Cd74,Itgax"
Blood,Embryonic stem cell,"B2m,Pou5f1,Nanog,Lifr,Lif,Bmp4,Tert,Stat3,Sox2,Fgf4,Zfp42"
Blood,Erythroid progenitor cell,"Csf1r,Adgre1,Epor,Gypa,Gata1,Klf1"
Blood,Erythroid terminal differentiation cell,"Alas2,Hba-a1,Alad,Hba-a2,Slc4a1,Bpgm,Rhd,Hbb-bt"
Blood,Granulocytic neutrophil,"Lyz2,S100a8,S100a9,Gstm1,Lcn2,Mpo,Ltf,Elane"
Blood,Hematopoietic stem cell,"Thy1,Ly6a,Abcg2,Ly6a,Slamf1,Il2ra,Robo4,Vwf,Slamf1,Ly6a,Kit,Thy1"
Blood,Lymphocyte,"Vpreb3,Dntt,Igll1,Vpreb1,Cd79a"
Blood,M2 macrophage,"Fcgr2b,Mrc1,Fcgr3,Mrc1,Adgre1,Mrc1,Arg1,Mrc1,Tek,Mrc1,Arg1,Mrc1,Mrc1,Mrc1,Arg1"
Blood,Macrophage,"Adgre1,Adgre1,Adgre1,Basp1,Cd79b,Bst2,Gzma,Vcam1,Cd5l,S100a4,Adgre1,Ptprc,Cd68,Lyz2,Fcer1g,Adgre1,Cd86,Cd80,Cd14,Itgam,Ms4a7,Vsig4,C3,Apoe,Lyz1,Marco,Csf1r,Gata6,Cd68,Cd74,Mertk,Adgre1,Htra1,Timd4,Chpt1,Mfge8,Atp6v0d2,Adgre1,Adgre1"
Blood,Megakaryocyte,"Itga2b,Itga2b,Apoe,Pbx1,Procr,Pf4"
Blood,Monocyte,"Gsr,Fcgr3,Ptprc,F13a1,Csf1r,Irf8,Klf4,Itgam,Fcgr3,Csf1r"
Blood,Monocyte-derived macrophage,"Adgre1,Retnla,Mrc1,Chil3,Arg1"
Blood,Natural killer cell,"Klrb1c,Fcgr3,Ncam1,Ccl5,Gzma,Ncam1,Nkg7,Ncam1"
Blood,Neutrophil,"Gsr,Prtn3,Gsr,Cebpe,Ly6g,Ngp,S100a8,S100a9,Ly6g"
